,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_sampl__n_neighbors,param_sampl__sampling_strategy,param_tfidf__use_idf,param_vect__binary,param_vect__max_df,param_vect__max_features,param_vect__ngram_range,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
32,773.750480055809,6.704091668128967,8.832051396369934,0.43680012226104736,1,auto,False,True,0.8,,"(2, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': True, 'vect__max_df': 0.8, 'vect__max_features': None, 'vect__ngram_range': (2, 2)}",-2.197087691611459,-2.788967854193554,-2.4930277729025065,0.29594008129104754,257,-0.20616412075363458,-0.2873957885553039,-0.24677995465446922,0.04061583390083466
33,156.01479375362396,1.019424557685852,5.464226603507996,0.14033186435699463,1,auto,False,True,0.8,10000,"(1, 1)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': True, 'vect__max_df': 0.8, 'vect__max_features': 10000, 'vect__ngram_range': (1, 1)}",-2.0382923567816227,-2.171562572393611,-2.104927464587617,0.06663510780599413,97,-0.257996768102621,-0.19290052549752915,-0.2254486468000751,0.03254812130254593
34,198.9051262140274,1.0075074434280396,11.759504675865173,1.2136865854263306,1,auto,False,True,0.8,10000,"(1, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': True, 'vect__max_df': 0.8, 'vect__max_features': 10000, 'vect__ngram_range': (1, 2)}",-1.8871030133112199,-2.1192220298481526,-2.003162521579686,0.11605950826846634,41,-0.25266286526537185,-0.1905583549198032,-0.22161061009258753,0.03105225517278433
35,130.78541457653046,16.074633717536926,9.297464966773987,0.8416582345962524,1,auto,False,True,0.8,10000,"(2, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': True, 'vect__max_df': 0.8, 'vect__max_features': 10000, 'vect__ngram_range': (2, 2)}",-2.251271866051664,-2.109977417922875,-2.1806246419872695,0.0706472240643945,161,-0.1401851425777845,-0.07820219974689606,-0.10919367116234027,0.03099147141544422
36,211.5676521062851,0.16380012035369873,5.855647563934326,0.2236623764038086,1,auto,False,False,1.0,,"(1, 1)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': False, 'vect__max_df': 1.0, 'vect__max_features': None, 'vect__ngram_range': (1, 1)}",-1.992368953073982,-2.3025169488637034,-2.1474429509688426,0.15507399789486068,133,-0.2597254601989808,-0.22805003293716936,-0.24388774656807508,0.01583771363090572
37,640.8599951267242,0.11058759689331055,12.153880000114441,0.03658878803253174,1,auto,False,False,1.0,,"(1, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': False, 'vect__max_df': 1.0, 'vect__max_features': None, 'vect__ngram_range': (1, 2)}",-1.9390805791366006,-2.35702093317632,-2.14805075615646,0.20897017701985976,137,-0.2874223903135112,-0.22937060460353093,-0.25839649745852106,0.029025892854990132
38,874.5839595794678,12.741585731506348,13.539311289787292,0.4419955015182495,1,auto,False,False,1.0,,"(2, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': False, 'vect__max_df': 1.0, 'vect__max_features': None, 'vect__ngram_range': (2, 2)}",-2.2480164423447713,-2.8841286902355168,-2.566072566290144,0.31805612394537275,265,-0.2129615152898315,-0.28098709884185374,-0.2469743070658426,0.03401279177601112
39,173.6944603919983,4.886379241943359,5.937126636505127,0.7454085350036621,1,auto,False,False,1.0,10000,"(1, 1)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': False, 'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 1)}",-1.9457992307776504,-2.3855852098164223,-2.165692220297036,0.21989298951938596,147,-0.27157171510735256,-0.21421455559899685,-0.2428931353531747,0.028678579754177855
40,218.5049045085907,4.724443674087524,9.938590288162231,0.2516031265258789,1,auto,False,False,1.0,10000,"(1, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': False, 'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 2)}",-2.008693834169739,-2.4232407700209775,-2.2159673020953585,0.20727346792561918,185,-0.2757838788099957,-0.21215131075092528,-0.24396759478046048,0.03181628402953522
41,134.91232526302338,14.385246634483337,6.996649503707886,0.5913944244384766,1,auto,False,False,1.0,10000,"(2, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': False, 'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (2, 2)}",-2.242464573926114,-2.0393378495834726,-2.1409012117547936,0.10156336217132078,125,-0.1381724801723404,-0.08103998275866157,-0.109606231465501,0.028566248706839416
42,203.49250638484955,0.3659096956253052,6.036105275154114,0.043686509132385254,1,auto,False,False,0.8,,"(1, 1)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': False, 'vect__max_df': 0.8, 'vect__max_features': None, 'vect__ngram_range': (1, 1)}",-1.992368953073982,-2.3025169488637034,-2.1474429509688426,0.15507399789486068,133,-0.2597254601989808,-0.22805003293716936,-0.24388774656807508,0.01583771363090572
